Time,Age,model_val,synthetic_val,indicator,country
1,A,0.113992927842,0,Cases,Netherlands
1,B,0.0470599581063,0,Cases,Netherlands
1,C,0.0204012633788,0,Cases,Netherlands
2,A,0.285611556247,0,Cases,Netherlands
2,B,0.1255188902237,0,Cases,Netherlands
2,C,0.0591974666431,0,Cases,Netherlands
3,A,0.405406835985,0,Cases,Netherlands
3,B,0.198380228704,0,Cases,Netherlands
3,C,0.10402256661309998,0,Cases,Netherlands
4,A,0.5178725313160001,1,Cases,Netherlands
4,B,0.28544121130699995,0,Cases,Netherlands
4,C,0.16308766752500004,0,Cases,Netherlands
5,A,0.64849022503,2,Cases,Netherlands
5,B,0.3981501458190001,0,Cases,Netherlands
5,C,0.24171091766399994,0,Cases,Netherlands
6,A,0.8134400937800002,2,Cases,Netherlands
6,B,0.54587864362,0,Cases,Netherlands
6,C,0.345671462179,0,Cases,Netherlands
7,A,1.0267605331799996,2,Cases,Netherlands
7,B,0.7393254932999997,0,Cases,Netherlands
7,C,0.48247334408700004,0,Cases,Netherlands
8,A,1.3042207497299998,4,Cases,Netherlands
8,B,0.9922281004400002,0,Cases,Netherlands
8,C,0.6620143915199999,1,Cases,Netherlands
9,A,1.6655785941600003,1,Cases,Netherlands
9,B,1.3225752062800002,2,Cases,Netherlands
9,C,0.8972687267600001,0,Cases,Netherlands
10,A,2.1363816802299995,1,Cases,Netherlands
10,B,1.7539094141399998,0,Cases,Netherlands
10,C,1.2051819207200003,2,Cases,Netherlands
11,A,2.7499072805000004,3,Cases,Netherlands
11,B,2.31698318811,5,Cases,Netherlands
11,C,1.6078631849099994,0,Cases,Netherlands
12,A,3.5495615259999997,3,Cases,Netherlands
12,B,3.0519288967500007,3,Cases,Netherlands
12,C,2.1341536242200005,0,Cases,Netherlands
13,A,4.5919715856,2,Cases,Netherlands
13,B,4.0111021811,2,Cases,Netherlands
13,C,2.82167615958,5,Cases,Netherlands
14,A,5.9510101674,3,Cases,Netherlands
14,B,5.262798198099999,5,Cases,Netherlands
14,C,3.7195100386999993,3,Cases,Netherlands
15,A,7.7230436187,3,Cases,Netherlands
15,B,6.8961023355,26,Cases,Netherlands
15,C,4.891679064100002,9,Cases,Netherlands
16,A,10.033777545699998,9,Cases,Netherlands
16,B,9.027218568600002,10,Cases,Netherlands
16,C,6.4217011590999995,0,Cases,Netherlands
17,A,13.047186072100004,11,Cases,Netherlands
17,B,11.807724161499998,10,Cases,Netherlands
17,C,8.418522397799997,2,Cases,Netherlands
18,A,16.977158331699997,11,Cases,Netherlands
18,B,15.435336341400003,16,Cases,Netherlands
18,C,11.0242568512,11,Cases,Netherlands
19,A,22.102688192100004,33,Cases,Netherlands
