Time;Age;country;indicator;synthetic_val;population
0;25-50;DE;Cases;0;25855651
0;25-50;DE;Hospitalisations;0;25855651
0;25-50;DE;Deaths;0;25855651
0;25-50;DE;Vaccination;0;25855651
0;25-50;DE;ICU admissions;0;25855651
0;25-50;DE;People in hospital;0;25855651
0;25-50;DE;People in ICU;0;25855651
0;25-50;NL;Cases;0;5479579
0;25-50;NL;Hospitalisations;0;5479579
0;25-50;NL;Deaths;0;5479579
0;25-50;NL;Vaccination;0;5479579
0;25-50;NL;ICU admissions;0;5479579
0;25-50;NL;People in hospital;0;5479579
0;25-50;NL;People in ICU;0;5479579
0;50+;DE;Cases;0;37394315
0;50+;DE;Hospitalisations;0;37394315
0;50+;DE;Deaths;0;37394315
0;50+;DE;Vaccination;0;37394315
0;50+;DE;ICU admissions;0;37394315
0;50+;DE;People in hospital;0;37394315
0;50+;DE;People in ICU;0;37394315
0;50+;NL;Cases;0;7144884
0;50+;NL;Hospitalisations;0;7144884
0;50+;NL;Deaths;0;7144884
0;50+;NL;Vaccination;0;7144884
0;50+;NL;ICU admissions;0;7144884
0;50+;NL;People in hospital;0;7144884
0;50+;NL;People in ICU;0;7144884
0;<25;DE;Cases;0;19905065
0;<25;DE;Hospitalisations;0;19905065
0;<25;DE;Deaths;0;19905065
0;<25;DE;Vaccination;0;19905065
0;<25;DE;ICU admissions;0;19905065
0;<25;DE;People in hospital;0;19905065
0;<25;DE;People in ICU;0;19905065
0;<25;NL;Cases;0;4850952
0;<25;NL;Hospitalisations;0;4850952
0;<25;NL;Deaths;0;4850952
0;<25;NL;Vaccination;0;4850952
0;<25;NL;ICU admissions;0;4850952
0;<25;NL;People in hospital;0;4850952
0;<25;NL;People in ICU;0;4850952
1;25-50;DE;Cases;0;25855651
1;25-50;DE;Hospitalisations;0;25855651
1;25-50;DE;Deaths;0;25855651
1;25-50;DE;Vaccination;0;25855651
1;25-50;DE;ICU admissions;0;25855651
1;25-50;DE;People in hospital;0;25855651
1;25-50;DE;People in ICU;0;25855651
1;25-50;NL;Cases;0;5479579
1;25-50;NL;Hospitalisations;0;5479579
1;25-50;NL;Deaths;0;5479579
1;25-50;NL;Vaccination;0;5479579
1;25-50;NL;ICU admissions;0;5479579
1;25-50;NL;People in hospital;0;5479579
1;25-50;NL;People in ICU;0;5479579
1;50+;DE;Cases;0;37394315
1;50+;DE;Hospitalisations;0;37394315
1;50+;DE;Deaths;0;37394315
1;50+;DE;Vaccination;0;37394315
1;50+;DE;ICU admissions;0;37394315
1;50+;DE;People in hospital;0;37394315
1;50+;DE;People in ICU;0;37394315
1;50+;NL;Cases;0;7144884
1;50+;NL;Hospitalisations;0;7144884
1;50+;NL;Deaths;0;7144884
1;50+;NL;Vaccination;0;7144884
1;50+;NL;ICU admissions;0;7144884
1;50+;NL;People in hospital;0;7144884
1;50+;NL;People in ICU;0;7144884
1;<25;DE;Cases;0;19905065
1;<25;DE;Hospitalisations;0;19905065
1;<25;DE;Deaths;0;19905065
1;<25;DE;Vaccination;0;19905065
1;<25;DE;ICU admissions;0;19905065
1;<25;DE;People in hospital;0;19905065
1;<25;DE;People in ICU;0;19905065
1;<25;NL;Cases;0;4850952
1;<25;NL;Hospitalisations;0;4850952
1;<25;NL;Deaths;0;4850952
1;<25;NL;Vaccination;0;4850952
1;<25;NL;ICU admissions;0;4850952
1;<25;NL;People in hospital;0;4850952
1;<25;NL;People in ICU;0;4850952
2;25-50;DE;Cases;0;25855651
2;25-50;DE;Hospitalisations;0;25855651
2;25-50;DE;Deaths;0;25855651
2;25-50;DE;Vaccination;0;25855651
2;25-50;DE;ICU admissions;0;25855651
2;25-50;DE;People in hospital;0;25855651
2;25-50;DE;People in ICU;0;25855651
2;25-50;NL;Cases;0;5479579
2;25-50;NL;Hospitalisations;0;5479579
2;25-50;NL;Deaths;0;5479579
2;25-50;NL;Vaccination;0;5479579
2;25-50;NL;ICU admissions;0;5479579
2;25-50;NL;People in hospital;0;5479579
2;25-50;NL;People in ICU;0;5479579
2;50+;DE;Cases;0;37394315
2;50+;DE;Hospitalisations;0;37394315
2;50+;DE;Deaths;0;37394315
2;50+;DE;Vaccination;0;37394315
2;50+;DE;ICU admissions;0;37394315
2;50+;DE;People in hospital;0;37394315
2;50+;DE;People in ICU;0;37394315
2;50+;NL;Cases;0;7144884
2;50+;NL;Hospitalisations;0;7144884
2;50+;NL;Deaths;0;7144884
2;50+;NL;Vaccination;0;7144884
2;50+;NL;ICU admissions;0;7144884
2;50+;NL;People in hospital;0;7144884
2;50+;NL;People in ICU;0;7144884
