data_family,variable,description,type,unit,linked_attributes,partition,formula,base_variable,cumulative_of,no_report,synthetic_tag,synthetic_blocker,modifiers,main,main_variable,variation
01_cases,active_cases,Number of active cases at the respective pathogen and reporting period. Active cases are calculated based are provided as reported by sources or calculated assuming that patients will recover after a particular numner of days.,observation,people,,"source, case_status, geo_code","active_cases(reporting_date, confirmed_cases, pathogen_code)",cumulative_cases,new_active_cases,,,,"[{""variable"": ""case_status"", ""value"": ""active""}]",TRUE,active_cases,
01_cases,active_cases_per_100k,Number of active cases at the respective pathogen and reporting period each 100.000 people,indicator,people/people,,"source, case_status, geo_code","active_cases_per_100k(reporting_date, active_cases, population)",,,,,,,,active_cases,ratio in population
01_cases,case_status,"A label for grouping different types of cases e.g. confirmed, suspected, etc.",characteristic,,,,,,,,,,,,,
01_cases,case_type,,characteristic,,,,,,,,,,,,,
01_cases,cases_for_female,Confirmed cases by Gender (Female),indicator,qty,,"source, geo_code","cases_for_female(reporting_date, confirmed_cases)",number_of_cases,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""gender_code"", ""value"": ""F""}]",,confirmed_cases,by gender
01_cases,cases_for_male,Confirmed cases by Gender (Male),indicator,qty,,"source, geo_code","cases_for_male(reporting_date, confirmed_cases)",number_of_cases,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""gender_code"", ""value"": ""M""}]",,confirmed_cases,by gender
01_cases,cases_with_diabetes,Confirmed cases by Comorbidity (Diabetes),indicator,qty,,"source, geo_code","cases_with_diabetes(reporting_date, confirmed_cases)",number_of_cases,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""comorbidity_code"", ""value"": ""diabetes""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,confirmed_cases,by comorbidity
01_cases,cases_with_kidney,Confirmed cases by Comorbidity (Chronic Kidney Disease),indicator,qty,,"source, geo_code","cases_with_kidney(reporting_date, confirmed_cases)",number_of_cases,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""comorbidity_code"", ""value"": ""chronic_kidney_disease""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,confirmed_cases,by comorbidity
01_cases,cases_with_obesity,Confirmed cases by Comorbidity (Obesity),indicator,qty,,"source, geo_code","cases_with_obesity(reporting_date, confirmed_cases)",number_of_cases,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""comorbidity_code"", ""value"": ""obesity""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,confirmed_cases,by comorbidity
01_cases,cases_with_respiratory_disease,Confirmed cases by Comorbidity (Respiratory Disease),indicator,qty,,"source, geo_code","cases_with_respiratory_disease(reporting_date, confirmed_cases)",number_of_cases,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""comorbidity_code"", ""value"": ""chronic_obstructive_respiratory_disease""},{""variable"": ""case_status"", ""value"": ""confirmed""}]",,confirmed_cases,by comorbidity
01_cases,confirmed_cases,Number of confirmed cases for the respective pathogen and reporting period. This figure refers to reported cases by countries so the definition of the reported case may differ between sources.,observation,people,,"source, case_status, geo_code",,number_of_cases,,,,,"[{""variable"": ""case_status"", ""value"": ""confirmed""}]",TRUE,confirmed_cases,
01_cases,confirmed_cases_alert,Alert triggered by the number of confirmed cases going over the expected using the modified version of the EARS algorithm proposed on epitweetr.,indicator,qty,,"source, case_status, geo_code","confirmed_cases_alert(reporting_date, confirmed_cases)",number_of_alerts,,,,,"[{""variable"": ""case_status"", ""value"": ""confirmed""}]",,confirmed_cases,alert
01_cases,confirmed_cases_by_variant_alpha,Number of confirmed cases by variant alpha for the respective pathogen and reporting period,observation,people,,"source, case_status, geo_code","confirmed_cases_alpha(reporting_period, confirmed_cases, pathogen_code, geo_code)",number_of_cases,,TRUE,fx2023,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""variant"", ""value"": ""J09.X_Alpha""}]",,confirmed_cases,by variant
01_cases,confirmed_cases_by_variant_gamma,Number of confirmed cases by variant gamma for the respective pathogen and reporting period,observation,people,,"source, case_status, geo_code","confirmed_cases_gamma(reporting_period, confirmed_cases, pathogen_code, geo_code)",number_of_cases,,TRUE,fx2023,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""variant"", ""value"": ""J09.X_Gamma""}]",,confirmed_cases,by variant
01_cases,cumulative_cases,Cumulative Number of cases since the first case reported for the respective pathogen and reporting period,observation,people,,"source, case_status, geo_code",,,number_of_cases,,,,,,,
01_cases,cumulative_confirmed_cases,Cumulative Number of confirmed cases for the respective pathogen and reporting period,observation,people,,"source, case_status, geo_code",,cumulative_cases,confirmed_cases,,,,"[{""variable"": ""case_status"", ""value"": ""confirmed""}]",,confirmed_cases,time aggregation
01_cases,incidence,Number of confirmed cases each 100.000 people during a particular period of time which can be daily or weekly based on the attribute ‘period_type',indicator,people/people,,"source, case_status, geo_code","incidence(reporting_period, confirmed_cases, population, pathogen_code)",,,,,,,,confirmed_cases,ratio in population
01_cases,new_active_cases,Number of new active cases at the respective pathogen and reporting period,observation,people,,"source, case_status, geo_code","cum_active_to_daily(reporting_period, active_cases)",number_of_cases,,,,,"[{""variable"": ""case_status"", ""value"": ""active""}]",,active_cases,time aggregation
01_cases,new_recovered_cases,Number of new recovered cases for the respective pathogen and reporting period,observation,people,,"source, case_status, geo_code","cum_recovered_to_daily(reporting_period, recovered_cases)",number_of_cases,,,,,"[{""variable"": ""case_status"", ""value"": ""recovered""}]",,recovered_cases,time aggregation
01_cases,number_of_alerts,,observation,,,"source, alert_topic, geo",,,,,,,,,,
01_cases,number_of_cases,Number of cases for the respective pathogen and reporting period depending on the case status,observation,people,,"source, case_status, geo_code","cum_to_daily(reporting_period, cumulative_cases)",,,,,,,,,
01_cases,number_of_notifications,"Number of cases notified independently of the status of the case, it can include suspected or confirmed cases.",indicator,qty,,"source, geo_code","number_of_notifications(reporting_date, confirmed_cases)",,,,,,,TRUE,number_of_notifications,
01_cases,number_of_notifications_per_100k,Notification Rate each 100.000 people cf. number of notifications,indicator,qty,,"source, geo_code","number_of_notifications_per_100k(reporting_date, number_of_notifications, population)",,,,,,,,number_of_notifications,ratio in population
01_cases,pathogen_alias,Predefined alias for a pathogens,referential_alias,,pathogen_code,,,,,,,,,,,
01_cases,pathogen_code,ICD-10-CM code of a pathogen,referential,,,,,,,,,,,,,
01_cases,pathogen_name,ICD-10-CM name of a pathogen,referential_label,,pathogen_code,,,,,,,,,,,
01_cases,recovered_cases,"Number of recovered cases for the respective pathogen and reporting period.  Recocovered cases are calculated based are provided as reported by sources or calculated assuming that patients will recover after a particular number of days. Variations of this variable included ratio in population cumulated, daily and weekly figures.",observation,people,,"source, case_status, geo_code","recovered_cases(reporting_date, confirmed_cases, pathogen_code)",cumulative_cases,new_recovered_cases,,,,"[{""variable"": ""case_status"", ""value"": ""recovered""}]",TRUE,recovered_cases,
01_cases,recovered_cases_per_100k,Number of recovered cases for the respective pathogen and reporting period each 100.000 people,indicator,people/people,,"source, case_status, geo_code","recovered_cases_per_100k(reporting_date, recovered_cases, population)",,,,,,,,recovered_cases,ratio in population
01_cases,rt_number,"R_t is the expected number of secondary cases produced by infected individuals, who turns infectious on day t. If a source does not provide this number it will be estimated as the ratio of confirmed cases between last 7 days against the previous seven days.",indicator,qty,,"source, case_status, geo_code","rt_number(reporting_period, confirmed_cases, pathogen_code)",,,,,,,TRUE,rt_number,
02_deaths,cumulative_deaths,,observation,people,,"Source, care_type, geo_code",,,number_of_deaths,,,,,,,
02_deaths,cumulative_infected_deaths,Cumulative number of deaths from the beginning of the reporting period until the reporting date for the given pathogen,observation,people,,"Source, care_type, geo_code",,cumulative_deaths,deaths_infected,,,,"[{""variable"": ""case_status"", ""value"": ""confirmed""}]",,deaths_infected,time aggregation
02_deaths,deaths_by_age_group_0_14,Deaths by Age Group (0-14),indicator,qty,,"source, geo_code","deaths_by_age_group_0_14(reporting_date, deaths_infected)",number_of_deaths,,TRUE,missing_real_data_2022,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""age_group"", ""value"": ""0-14""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,deaths_infected,by age group
02_deaths,deaths_by_age_group_15_24,Deaths by Age Group (15-24),indicator,qty,,"source, geo_code","deaths_by_age_group_15_24(reporting_date, deaths_infected)",number_of_deaths,,TRUE,missing_real_data_2022,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""age_group"", ""value"": ""15-24""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,deaths_infected,by age group
02_deaths,deaths_by_age_group_25_49,Deaths by Age Group (25-49),indicator,qty,,"source, geo_code","deaths_by_age_group_25_49(reporting_date, deaths_infected)",number_of_deaths,,TRUE,missing_real_data_2022,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""age_group"", ""value"": ""25-49""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,deaths_infected,by age group
02_deaths,deaths_by_age_group_50_64,Deaths by Age Group (50-64),indicator,qty,,"source, geo_code","deaths_by_age_group_50_64(reporting_date, deaths_infected)",number_of_deaths,,TRUE,missing_real_data_2022,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""age_group"", ""value"": ""50-64""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,deaths_infected,by age group
02_deaths,deaths_by_age_group_65_79,Deaths by Age Group (65-79),indicator,qty,,"source, geo_code","deaths_by_age_group_65_79(reporting_date, deaths_infected)",number_of_deaths,,TRUE,missing_real_data_2022,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""age_group"", ""value"": ""65-79""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,deaths_infected,by age group
02_deaths,deaths_by_age_group_80+,Deaths by Age Group (80+),indicator,qty,,"source, geo_code","deaths_by_age_group_80+(reporting_date, deaths_infected)",number_of_deaths,,TRUE,missing_real_data_2022,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""age_group"", ""value"": ""80+""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,deaths_infected,by age group
